regr_name,regr_score
LinearRegression,4456.499431359461
LGBMRegressor,696.881969546136
XGBRegressor,694.2602034403882
CatBoostRegressor,527.9003607044748
SGDRegressor,5035.06578583088
KernelRidge,4670.618382919791
ElasticNet,7686.77874775465
BayesianRidge,4508.389710984283
GradientBoostingRegressor,635.6236263210155
SVR,54891.79305945473
MLPRegressor,2249.472163281385
