DATE,WM2NS
5/13/1985,2375.5
5/20/1985,2378.7
5/27/1985,2372.8
6/3/1985,2393.6
6/10/1985,2416.7
6/17/1985,2416.9
6/24/1985,2407.5
7/1/1985,2421.1
7/8/1985,2443.4
7/15/1985,2440.8
7/22/1985,2431.6
7/29/1985,2422.9
8/5/1985,2443.2
8/12/1985,2446.6
8/19/1985,2444.4
8/26/1985,2434.6
9/2/1985,2441.3
9/9/1985,2463.1
9/16/1985,2458.8
9/23/1985,2441.6
9/30/1985,2448.6
10/7/1985,2472.9
10/14/1985,2470.8
10/21/1985,2468.7
10/28/1985,2455.2
11/4/1985,2474.1
11/11/1985,2481.4
11/18/1985,2483.2
11/25/1985,2477.3
12/2/1985,2491.3
12/9/1985,2503.6
12/16/1985,2501.6
12/23/1985,2502.1
12/30/1985,2505.3
1/6/1986,2536
1/13/1986,2521.5
1/20/1986,2510.2
1/27/1986,2492.2
2/3/1986,2494.4
2/10/1986,2506.8
2/17/1986,2502.1
2/24/1986,2498.4
3/3/1986,2507.9
3/10/1986,2527.1
3/17/1986,2527.9
3/24/1986,2523.2
3/31/1986,2535.2
4/7/1986,2570.7
4/14/1986,2573
4/21/1986,2569
4/28/1986,2550.4
5/5/1986,2564.4
5/12/1986,2569.8
5/19/1986,2572.2
5/26/1986,2566.6
6/2/1986,2584.4
6/9/1986,2610.1
6/16/1986,2612
6/23/1986,2598.8
6/30/1986,2602.4
7/7/1986,2639.8
7/14/1986,2638.8
7/21/1986,2632.3
7/28/1986,2621.1
8/4/1986,2641.5
8/11/1986,2651
8/18/1986,2648.7
8/25/1986,2636.5
9/1/1986,2644.5
9/8/1986,2670.4
9/15/1986,2667.7
9/22/1986,2656.4
9/29/1986,2651.1
10/6/1986,2686.7
10/13/1986,2688.4
10/20/1986,2688.8
10/27/1986,2674.7
11/3/1986,2690.1
11/10/1986,2705.8
11/17/1986,2707.9
11/24/1986,2697.1
12/1/1986,2716.6
12/8/1986,2730
12/15/1986,2731
12/22/1986,2738.5
12/29/1986,2751.5
1/5/1987,2794.4
1/12/1987,2770.7
1/19/1987,2750.2
1/26/1987,2728.4
2/2/1987,2727.9
2/9/1987,2742.6
2/16/1987,2736.8
2/23/1987,2730.2
3/2/1987,2733.7
3/9/1987,2754.4
3/16/1987,2751.5
3/23/1987,2741.3
3/30/1987,2742.5
4/6/1987,2781.4
4/13/1987,2787.9
4/20/1987,2793.2
4/27/1987,2764
5/4/1987,2761.7
5/11/1987,2760.2
5/18/1987,2759.3
5/25/1987,2751.9
6/1/1987,2765.5
6/8/1987,2786.5
6/15/1987,2781.7
6/22/1987,2766
6/29/1987,2755.4
7/6/1987,2800.8
7/13/1987,2792.6
7/20/1987,2784.6
7/27/1987,2770.6
8/3/1987,2781.4
8/10/1987,2796.7
8/17/1987,2792.5
8/24/1987,2780.3
8/31/1987,2778.2
9/7/1987,2801.9
9/14/1987,2807.3
9/21/1987,2790.9
9/28/1987,2774.1
10/5/1987,2811.1
10/12/1987,2809.6
10/19/1987,2812.7
10/26/1987,2809.3
11/2/1987,2810.7
11/9/1987,2826.4
11/16/1987,2825
11/23/1987,2815.7
11/30/1987,2818.6
12/7/1987,2839.3
12/14/1987,2836.9
12/21/1987,2836.8
12/28/1987,2835.4
1/4/1988,2864.7
1/11/1988,2868.9
1/18/1988,2861.9
1/25/1988,2844.3
2/1/1988,2844.6
2/8/1988,2861
2/15/1988,2859.4
2/22/1988,2858.8
2/29/1988,2854.8
3/7/1988,2883.7
3/14/1988,2887
3/21/1988,2887.9
3/28/1988,2882.7
4/4/1988,2920.7
4/11/1988,2937.7
4/18/1988,2934.2
4/25/1988,2915.8
5/2/1988,2903.6
5/9/1988,2912.5
5/16/1988,2913.1
5/23/1988,2907
5/30/1988,2906.4
6/6/1988,2942.9
6/13/1988,2941.4
6/20/1988,2936.1
6/27/1988,2920.1
7/4/1988,2953
7/11/1988,2967.3
7/18/1988,2955.8
7/25/1988,2939.9
8/1/1988,2944.5
8/8/1988,2960.6
8/15/1988,2956.4
8/22/1988,2947.5
8/29/1988,2934.7
9/5/1988,2957.6
9/12/1988,2964
9/19/1988,2952.6
9/26/1988,2930.4
10/3/1988,2951
10/10/1988,2969.3
10/17/1988,2971.2
10/24/1988,2951.9
10/31/1988,2952.9
11/7/1988,2983.5
11/14/1988,2985.3
11/21/1988,2982.7
11/28/1988,2979.8
12/5/1988,2998.3
12/12/1988,3001.1
12/19/1988,2998.4
12/26/1988,2991.7
1/2/1989,3016.1
1/9/1989,3026.3
1/16/1989,3009.5
1/23/1989,2988.9
1/30/1989,2966
2/6/1989,2988.2
2/13/1989,2984.6
2/20/1989,2981.6
2/27/1989,2973.7
3/6/1989,3003
3/13/1989,3000.8
3/20/1989,2998.3
3/27/1989,2991.4
4/3/1989,3013.9
4/10/1989,3036.6
4/17/1989,3035.9
4/24/1989,3017.1
5/1/1989,2998.8
5/8/1989,3000.1
5/15/1989,2998.9
5/22/1989,2991.9
5/29/1989,2988
6/5/1989,3023.5
6/12/1989,3029
6/19/1989,3024.4
6/26/1989,3008.3
7/3/1989,3039.5
7/10/1989,3069.7
7/17/1989,3059.8
7/24/1989,3045.9
7/31/1989,3044.8
8/7/1989,3075.6
8/14/1989,3075.9
8/21/1989,3074
8/28/1989,3060.9
9/4/1989,3081.2
9/11/1989,3099.9
9/18/1989,3090.3
9/25/1989,3068.1
10/2/1989,3089.2
10/9/1989,3114.4
10/16/1989,3117.6
10/23/1989,3105.3
10/30/1989,3098.8
11/6/1989,3133.3
11/13/1989,3137.6
11/20/1989,3137.3
11/27/1989,3134.4
12/4/1989,3152.4
12/11/1989,3161.8
12/18/1989,3161
12/25/1989,3161.4
1/1/1990,3181.9
1/8/1990,3195.7
1/15/1990,3182.7
1/22/1990,3163.6
1/29/1990,3141.9
2/5/1990,3169.4
2/12/1990,3172.4
2/19/1990,3169.7
2/26/1990,3165.2
3/5/1990,3188.9
3/12/1990,3194.2
3/19/1990,3191.8
3/26/1990,3184.6
4/2/1990,3206.1
4/9/1990,3235.2
4/16/1990,3238.4
4/23/1990,3213.3
4/30/1990,3190.5
5/7/1990,3195.1
5/14/1990,3191.1
5/21/1990,3184.6
5/28/1990,3173.8
6/4/1990,3207.7
6/11/1990,3218.1
6/18/1990,3216.2
6/25/1990,3194.2
7/2/1990,3217.3
7/9/1990,3238.3
7/16/1990,3233.2
7/23/1990,3214.1
7/30/1990,3208.8
8/6/1990,3238
8/13/1990,3245.7
8/20/1990,3242.6
8/27/1990,3228.1
9/3/1990,3245.5
9/10/1990,3266
9/17/1990,3255.2
9/24/1990,3230.4
10/1/1990,3242.6
10/8/1990,3267.4
10/15/1990,3265.2
10/22/1990,3247.1
10/29/1990,3236.5
11/5/1990,3262.5
11/12/1990,3268.2
11/19/1990,3268.4
11/26/1990,3261.3
12/3/1990,3264
12/10/1990,3284.8
12/17/1990,3284.8
12/24/1990,3283.1
12/31/1990,3291.6
1/7/1991,3309.9
1/14/1991,3300.5
1/21/1991,3287.4
1/28/1991,3266.9
2/4/1991,3287.9
2/11/1991,3300.8
2/18/1991,3296.1
2/25/1991,3290
3/4/1991,3313.9
3/11/1991,3327.7
3/18/1991,3327
3/25/1991,3320
4/1/1991,3339.8
4/8/1991,3367.9
4/15/1991,3371
4/22/1991,3347.4
4/29/1991,3313.8
5/6/1991,3333.3
5/13/1991,3335.1
5/20/1991,3332.1
5/27/1991,3318.2
6/3/1991,3340.7
6/10/1991,3364.4
6/17/1991,3359.4
6/24/1991,3330.5
7/1/1991,3346.1
7/8/1991,3374.8
7/15/1991,3366
7/22/1991,3347.1
7/29/1991,3332.4
8/5/1991,3357.9
8/12/1991,3359.8
8/19/1991,3352.5
