DATE,GDP
1/1/1947,243.164
4/1/1947,245.968
7/1/1947,249.585
10/1/1947,259.745
1/1/1948,265.742
4/1/1948,272.567
7/1/1948,279.196
10/1/1948,280.366
1/1/1949,275.034
4/1/1949,271.351
7/1/1949,272.889
10/1/1949,270.627
1/1/1950,280.828
4/1/1950,290.383
7/1/1950,308.153
10/1/1950,319.945
1/1/1951,336
4/1/1951,344.09
7/1/1951,351.385
10/1/1951,356.178
1/1/1952,359.82
4/1/1952,361.03
7/1/1952,367.701
10/1/1952,380.812
1/1/1953,387.98
4/1/1953,391.749
7/1/1953,391.171
10/1/1953,385.97
1/1/1954,385.345
4/1/1954,386.121
7/1/1954,390.996
10/1/1954,399.734
1/1/1955,413.073
4/1/1955,421.532
7/1/1955,430.221
10/1/1955,437.092
1/1/1956,439.746
4/1/1956,446.01
7/1/1956,451.191
10/1/1956,460.463
1/1/1957,469.779
4/1/1957,472.025
7/1/1957,479.49
10/1/1957,474.864
1/1/1958,467.54
4/1/1958,471.978
7/1/1958,485.841
10/1/1958,499.555
1/1/1959,510.33
4/1/1959,522.653
7/1/1959,525.034
10/1/1959,528.6
1/1/1960,542.648
4/1/1960,541.08
7/1/1960,545.604
10/1/1960,540.197
1/1/1961,545.018
4/1/1961,555.545
7/1/1961,567.664
10/1/1961,580.612
1/1/1962,594.013
4/1/1962,600.366
7/1/1962,609.027
10/1/1962,612.28
1/1/1963,621.672
4/1/1963,629.752
7/1/1963,644.444
10/1/1963,653.938
1/1/1964,669.822
4/1/1964,678.674
7/1/1964,692.031
10/1/1964,697.319
1/1/1965,717.79
4/1/1965,730.191
7/1/1965,749.323
10/1/1965,771.857
1/1/1966,795.734
4/1/1966,804.981
7/1/1966,819.638
10/1/1966,833.302
1/1/1967,844.17
4/1/1967,848.983
7/1/1967,865.233
10/1/1967,881.439
1/1/1968,909.387
4/1/1968,934.344
7/1/1968,950.825
10/1/1968,968.03
1/1/1969,993.337
4/1/1969,1009.02
7/1/1969,1029.956
10/1/1969,1038.147
1/1/1970,1051.2
4/1/1970,1067.375
7/1/1970,1086.059
10/1/1970,1088.608
1/1/1971,1135.156
4/1/1971,1156.271
7/1/1971,1177.675
10/1/1971,1190.297
1/1/1972,1230.609
4/1/1972,1266.369
7/1/1972,1290.566
10/1/1972,1328.904
1/1/1973,1377.49
4/1/1973,1413.887
7/1/1973,1433.838
10/1/1973,1476.289
1/1/1974,1491.209
4/1/1974,1530.056
7/1/1974,1560.026
10/1/1974,1599.679
1/1/1975,1616.116
4/1/1975,1651.853
7/1/1975,1709.82
10/1/1975,1761.831
1/1/1976,1820.487
4/1/1976,1852.332
7/1/1976,1886.558
10/1/1976,1934.273
1/1/1977,1988.648
4/1/1977,2055.909
7/1/1977,2118.473
10/1/1977,2164.27
1/1/1978,2202.76
4/1/1978,2331.633
7/1/1978,2395.053
10/1/1978,2476.949
1/1/1979,2526.61
4/1/1979,2591.247
7/1/1979,2667.565
10/1/1979,2723.883
1/1/1980,2789.842
4/1/1980,2797.352
7/1/1980,2856.483
10/1/1980,2985.557
1/1/1981,3124.206
4/1/1981,3162.532
7/1/1981,3260.609
10/1/1981,3280.818
1/1/1982,3274.302
4/1/1982,3331.972
7/1/1982,3366.322
10/1/1982,3402.561
1/1/1983,3473.413
4/1/1983,3578.848
7/1/1983,3689.179
10/1/1983,3794.706
1/1/1984,3908.054
4/1/1984,4009.601
7/1/1984,4084.25
10/1/1984,4148.551
1/1/1985,4230.168
4/1/1985,4294.887
7/1/1985,4386.773
10/1/1985,4444.094
1/1/1986,4507.894
4/1/1986,4545.34
7/1/1986,4607.669
10/1/1986,4657.627
1/1/1987,4722.156
4/1/1987,4806.16
7/1/1987,4884.555
10/1/1987,5007.994
1/1/1988,5073.372
4/1/1988,5190.036
7/1/1988,5282.835
10/1/1988,5399.509
1/1/1989,5511.253
4/1/1989,5612.463
7/1/1989,5695.365
10/1/1989,5747.237
