,date,numTweets,replies_count,replies_average,retweets_count,retweets_average,likes_count,likes_average
78,2022-02-12,3,35263,11754.33333,113185,37728.33333,629919,209973
79,2022-02-11,8,9450,1181.25,9013,1126.625,122821,15352.625
80,2022-02-10,13,43487,3345.153846,62136,4779.692308,824749,63442.23077
81,2022-02-09,5,5939,1187.8,5778,1155.6,120571,24114.2
82,2022-02-08,10,45181,4518.1,65337,6533.7,604128,60412.8
83,2022-02-07,11,31012,2819.272727,48638,4421.636364,451979,41089
84,2022-02-06,8,40858,5107.25,56806,7100.75,682307,85288.375
85,2022-02-05,8,7332,916.5,39214,4901.75,201698,25212.25
86,2022-02-04,13,16291,1253.153846,14927,1148.230769,216031,16617.76923
87,2022-02-03,2,9194,4597,6475,3237.5,48166,24083
88,2022-02-02,13,23948,1842.153846,18641,1433.923077,319802,24600.15385
89,2022-02-01,11,15673,1424.818182,38076,3461.454545,325439,29585.36364
90,2022-01-31,8,47392,5924,67190,8398.75,691499,86437.375
91,2022-01-30,16,65590,4099.375,151181,9448.8125,1315275,82204.6875
92,2022-01-29,9,54397,6044.111111,59736,6637.333333,681532,75725.77778
93,2022-01-28,20,70927,3546.35,247315,12365.75,1476276,73813.8
94,2022-01-27,13,48648,3742.153846,123837,9525.923077,849971,65382.38462
95,2022-01-26,6,20078,3346.333333,15868,2644.666667,278242,46373.66667
96,2022-01-25,9,69610,7734.444444,268085,29787.22222,1657273,184141.4444
97,2022-01-21,11,36148,3286.181818,35166,3196.909091,462459,42041.72727
98,2022-01-20,5,34973,6994.6,48782,9756.4,527383,105476.6
99,2022-01-19,17,89432,5260.705882,110337,6490.411765,1110988,65352.23529
100,2022-01-18,17,48659,2862.294118,40856,2403.294118,496758,29221.05882
101,2022-01-17,12,35658,2971.5,75953,6329.416667,740149,61679.08333
102,2022-01-16,10,35557,3555.7,49048,4904.8,528584,52858.4
103,2022-01-15,4,45345,11336.25,31669,7917.25,385117,96279.25
104,2022-01-14,5,43498,8699.6,54185,10837,365847,73169.4
105,2022-01-13,3,4610,1536.666667,2566,855.3333333,41352,13784
106,2022-01-12,4,11611,2902.75,10961,2740.25,105576,26394
