"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 22, 2022","432,500.00","432,500.00","435,000.00","430,000.00","-","0.00%"
"Feb 21, 2022","432,500.00","432,500.00","435,000.00","430,000.00","-","2.37%"
"Feb 18, 2022","422,500.00","422,500.00","425,000.00","420,000.00","-","1.20%"
"Feb 17, 2022","417,500.00","417,500.00","420,000.00","415,000.00","-","2.20%"
"Feb 16, 2022","408,500.00","408,500.00","411,000.00","406,000.00","-","2.77%"
"Feb 15, 2022","397,500.00","397,500.00","400,000.00","395,000.00","-","1.27%"
"Feb 14, 2022","392,500.00","392,500.00","395,000.00","390,000.00","-","1.29%"
"Feb 11, 2022","387,500.00","387,500.00","390,000.00","385,000.00","-","2.65%"
"Feb 10, 2022","377,500.00","377,500.00","380,000.00","375,000.00","-","0.00%"
"Feb 09, 2022","377,500.00","377,500.00","380,000.00","375,000.00","-","2.72%"
"Feb 08, 2022","367,500.00","367,500.00","370,000.00","365,000.00","-","0.00%"
"Feb 07, 2022","367,500.00","367,500.00","370,000.00","365,000.00","-","1.38%"
"Jan 28, 2022","362,500.00","362,500.00","365,000.00","360,000.00","-","2.84%"
"Jan 27, 2022","352,500.00","352,500.00","355,000.00","350,000.00","-","0.00%"
"Jan 26, 2022","352,500.00","352,500.00","355,000.00","350,000.00","-","0.00%"
"Jan 25, 2022","352,500.00","352,500.00","355,000.00","350,000.00","-","0.00%"
"Jan 24, 2022","352,500.00","352,500.00","353,000.00","348,000.00","-","2.92%"
"Jan 21, 2022","342,500.00","342,500.00","345,000.00","340,000.00","-","2.70%"
"Jan 20, 2022","333,500.00","333,500.00","336,000.00","331,000.00","-","2.46%"
"Jan 19, 2022","325,500.00","325,500.00","328,000.00","323,000.00","-","2.52%"
"Jan 18, 2022","317,500.00","317,500.00","320,000.00","315,000.00","-","1.60%"
"Jan 17, 2022","312,500.00","312,500.00","315,000.00","310,000.00","-","0.00%"
"Jan 14, 2022","312,500.00","312,500.00","315,000.00","310,000.00","-","0.00%"
"Jan 13, 2022","312,500.00","312,500.00","315,000.00","310,000.00","-","1.96%"
"Jan 12, 2022","306,500.00","306,500.00","309,000.00","304,000.00","-","2.68%"
"Jan 11, 2022","298,500.00","298,500.00","301,000.00","296,000.00","-","2.75%"
"Jan 10, 2022","290,500.00","290,500.00","293,000.00","288,000.00","-","2.83%"
"Jan 07, 2022","282,500.00","282,500.00","285,000.00","280,000.00","-","2.54%"
"Jan 06, 2022","275,500.00","275,500.00","278,000.00","273,000.00","-","2.99%"
"Jan 05, 2022","267,500.00","267,500.00","270,000.00","265,000.00","-","1.13%"
"Jan 04, 2022","264,500.00","264,500.00","267,000.00","262,000.00","-","0.00%"
"Dec 31, 2021","264,500.00","264,500.00","267,000.00","262,000.00","-","2.72%"
"Dec 30, 2021","257,500.00","257,500.00","260,000.00","255,000.00","-","1.98%"
