thresholds,returns,buys
-0.05,125717.12199844481,910
-0.04,127588.82492539713,870
-0.03,128687.76737686174,840
-0.02,129428.01782362016,812
-0.01,129898.60370267584,790
0,130249.10682639862,757
0.01,130121.1511464454,733
0.02,129728.99697611385,695
0.03,128875.23824662135,661
0.04,127452.41050580685,608
0.05,125337.53725343927,561
buypos,41027.698138654545,658
buyneg,38638.2008652476,599
buyevery,79751.44638170334,1258
