Date,current,pred,actual
2017-08-22,68.27,73.52608085672358,74.782
2017-08-23,70.554,72.37184792811576,73.296
2017-08-24,70.586,67.43176519033261,70.218
2017-08-25,69.61,71.53656934167563,68.998
2017-08-28,69.132,67.42242148919362,69.05
2017-08-29,69.472,68.49719667428295,68.194
2017-08-30,70.636,67.41765913484485,67.92
2017-08-31,71.18,72.59243880842743,68.22
2017-09-01,71.08,66.60328111791318,68.306
2017-09-05,69.918,71.7224009673553,69.628
2017-09-06,68.906,69.98029679910152,71.002
2017-09-07,70.122,72.39147303329386,71.066
2017-09-08,68.68,71.0605853673257,71.376
2017-09-11,72.738,73.73574473303566,68.588
2017-09-12,72.55,70.50058195263188,71.118
2017-09-13,73.246,68.90595315161298,70.92
2017-09-14,75.528,66.86119813805212,71.136
2017-09-15,75.962,68.95297842406325,71.114
2017-09-18,77.0,71.76006280505948,70.12
2017-09-19,75.02,71.68279867645231,71.15
2017-09-20,74.782,72.43265508297836,71.93
2017-09-21,73.296,68.52914766738934,70.362
2017-09-22,70.218,67.67579616082449,69.02
2017-09-25,68.998,65.49858181993562,67.404
2017-09-26,69.05,68.79427075153319,67.468
2017-09-27,68.194,67.08981399914688,65.168
2017-09-28,67.92,66.54337544775467,65.234
2017-09-29,68.22,65.77510262615468,64.174
2017-10-02,68.306,64.20816320884825,64.016
2017-10-03,69.628,64.91930621972887,66.306
2017-10-04,71.002,63.3535907888527,64.216
2017-10-05,71.066,60.68911251962021,59.852
2017-10-06,71.376,61.8377357026784,61.218
2017-10-09,68.588,61.200130014758514,60.556
2017-10-10,71.118,59.25445857362715,61.21
2017-10-11,70.92,63.44572819012879,60.878
2017-10-12,71.136,60.99734063761025,60.598
2017-10-13,71.114,60.8005967368816,60.598
2017-10-16,70.12,63.65921086858182,63.08
2017-10-17,71.15,61.657167698543304,61.74
2017-10-18,71.93,61.92889332248069,62.26
2017-10-19,70.362,62.71927830888757,62.5
2017-10-20,69.02,63.26709551328349,63.01
2017-10-23,67.404,65.82964554978341,61.748
2017-10-24,67.468,64.18064475449688,63.562
2017-10-25,65.168,62.33639659397889,62.52
2017-10-26,65.234,64.14699524115755,63.11
2017-10-27,64.174,61.84428922849358,63.362
2017-10-30,64.016,63.244456703961845,63.51
2017-10-31,66.306,63.73495689935575,61.508
2017-11-01,64.216,62.024242793183845,61.77
2017-11-02,59.852,62.183559065957866,61.306
2017-11-03,61.218,64.33185267829944,61.04
2017-11-06,60.556,64.41253035001714,60.74
2017-11-07,61.21,63.8581841422471,62.652
2017-11-08,60.878,62.90513255471308,62.248
2017-11-09,60.598,64.59390048977625,63.026
2017-11-10,60.598,64.79310371709457,65.782
2017-11-13,63.08,67.23854741635918,68.206
2017-11-14,61.74,65.28073471922355,67.806
2017-11-15,62.26,67.34039657785931,67.578
2017-11-16,62.5,67.05943451384212,68.69
2017-11-17,63.01,65.29254481313228,67.774
2017-11-20,61.748,62.3540915471354,66.22
2017-11-21,63.562,61.21895394372464,65.796
2017-11-22,62.52,65.26946368079058,66.332
2017-11-24,63.11,64.45389849666796,65.04
2017-11-27,63.362,64.00619978174197,63.458
2017-11-28,63.51,64.96382064635196,62.328
2017-11-29,61.508,63.82773617191461,63.072
2017-11-30,61.77,63.43068715699178,62.27
2017-12-01,61.306,64.68105912249047,64.106
2017-12-04,61.04,64.36729709948636,63.45
2017-12-05,60.74,63.59730300010929,62.924
2017-12-06,62.652,65.55767654234424,63.316
2017-12-07,62.248,66.44829960620464,67.282
2017-12-08,63.026,66.32747306573029,66.738
2017-12-11,65.782,66.95002265652133,66.96
2017-12-12,68.206,67.19419524521788,67.59
2017-12-13,67.806,67.00838952070433,67.244
2017-12-14,67.578,67.66785761427889,68.012
2017-12-15,68.69,69.75419535076088,69.432
2017-12-18,67.774,67.41395972349008,68.914
2017-12-19,66.22,67.04512631712902,70.004
2017-12-20,65.796,68.22050593345153,70.312
2017-12-21,66.332,68.9169822202249,70.558
2017-12-22,65.04,67.80985619187322,69.178
2017-12-26,63.458,67.56848874808145,67.528
2017-12-27,62.328,67.49015263872161,68.57
2017-12-28,63.072,68.3617696936713,69.906
2017-12-29,62.27,66.52919522639968,69.164
2018-01-02,64.106,67.04506892535801,70.862
2018-01-03,63.45,67.23191208164587,69.85
2018-01-04,62.924,67.62414232720351,68.75
2018-01-05,63.316,67.25579060450431,66.626
2018-01-08,67.282,65.98709388737427,66.794
2018-01-09,66.738,63.9656768399947,69.0
2018-01-10,66.96,64.12110848694581,63.046
2018-01-11,67.59,64.51181729038646,62.084
2018-01-12,67.244,65.1108644939712,63.146
2018-01-16,68.012,64.2896307706275,64.732
2018-01-17,69.432,65.22499590464008,64.462
2018-01-18,68.914,66.51815601175878,66.813
2018-01-19,70.004,67.13047859116833,67.098
2018-01-22,70.312,66.8800707575233,66.954
2018-01-23,70.558,67.18983869966084,66.66
2018-01-24,69.178,67.7017846661814,69.234
2018-01-25,67.528,68.41891869322552,70.41
2018-01-26,68.57,67.51345045759095,71.484
2018-01-29,69.906,71.06599827748207,70.198
2018-01-30,69.164,70.17215055743551,68.612
2018-01-31,70.862,66.66983003117346,66.186
2018-02-01,69.85,65.39638748596292,67.024
2018-02-02,68.75,66.78708932881818,66.67
2018-02-05,66.626,64.3257787026624,65.64
2018-02-06,66.794,65.40224332231489,66.46
2018-02-07,69.0,66.67647390050641,65.82
2018-02-08,63.046,62.92860228394977,65.434
2018-02-09,62.084,66.78525441459612,69.102
2018-02-12,63.146,68.3545418148409,68.368
2018-02-13,64.732,67.6347551836507,65.326
2018-02-14,64.462,64.49091839208182,65.12
2018-02-15,66.813,66.32964436904112,64.27
2018-02-16,67.098,65.93425230947346,62.712
2018-02-20,66.954,61.48085657696288,62.11
2018-02-21,66.66,63.10938355186096,63.306
2018-02-22,69.234,62.00330895082021,61.82
2018-02-23,70.41,59.35348913475187,60.308
2018-02-26,71.484,59.68965771583481,60.836
2018-02-27,70.198,56.30284547835669,55.836
2018-02-28,68.612,54.883739973239756,51.556
2018-03-01,66.186,56.06026642249043,53.226
2018-03-02,67.024,63.08757205850779,50.496
2018-03-05,66.67,61.19308292741843,53.506
2018-03-06,65.64,59.69325650975313,57.388
2018-03-07,66.46,61.295860608252156,61.144
2018-03-08,65.82,59.12078180482317,59.86
2018-03-09,65.434,59.307842397555504,57.932
2018-03-12,69.102,59.71419736270721,60.94
2018-03-13,68.368,61.10861897532723,60.186
2018-03-14,65.326,59.715221894717956,58.816
2018-03-15,65.12,58.96629168424505,60.068
2018-03-16,64.27,58.75326317741735,58.242
2018-03-19,62.712,58.155202080756254,57.538
2018-03-20,62.11,57.57494776666212,58.67
2018-03-21,63.306,58.29902984762538,60.016
2018-03-22,61.82,64.13262163357356,58.048
2018-03-23,60.308,56.95024171319645,56.674
2018-03-26,60.836,59.25676118349128,56.692
2018-03-27,55.836,54.947915845101335,56.138
2018-03-28,51.556,58.536526795688275,57.096
2018-03-29,53.226,58.35186027181342,58.815
2018-04-02,50.496,54.79972414733757,58.78
2018-04-03,53.506,59.562896957412136,59.984
2018-04-04,57.388,55.990893376615276,60.23
2018-04-05,61.144,57.4437513854746,56.89
2018-04-06,59.86,59.861937737433465,58.818
2018-04-09,57.932,59.87859133708224,60.554
2018-04-10,60.94,60.13992967510913,60.394
2018-04-11,60.186,60.470315121083786,61.37
2018-04-12,58.816,60.04632268526953,61.004
2018-04-13,60.068,59.68712703364926,60.212
2018-04-16,58.242,60.766849080123166,58.394
2018-04-17,57.538,55.22849369367509,56.836
2018-04-18,58.67,54.81846687600961,57.296
2018-04-19,60.016,55.48333781904597,56.908
2018-04-20,58.048,55.903185227337616,55.364
2018-04-23,56.674,56.84251614029449,56.898
2018-04-24,56.692,56.350778331717976,55.002
2018-04-25,56.138,55.58299044188567,55.814
2018-04-26,57.096,56.00733402593852,55.57
2018-04-27,58.815,55.99150994849916,55.77
2018-04-30,58.78,61.60808873103318,56.752
2018-05-01,59.984,61.895829793268604,58.344
2018-05-02,60.23,60.79616603971391,56.946
2018-05-03,56.89,60.44389050582805,58.364
2018-05-04,58.818,60.96156470678059,59.348
2018-05-07,60.554,62.88704218519328,58.226
2018-05-08,60.394,64.07373668534925,63.9
2018-05-09,61.37,64.67804697709403,63.218
2018-05-10,61.004,64.82605573363287,63.532
2018-05-11,60.212,67.40536269292352,66.42
2018-05-14,58.394,68.50413159169435,68.554
2018-05-15,56.836,70.00197797512962,68.956
2018-05-16,57.296,70.0706429995899,71.544
2018-05-17,56.908,70.93553398981285,71.634
2018-05-18,55.364,71.45750946606344,74.166
2018-05-21,56.898,69.85835646978578,70.51
2018-05-22,55.002,70.48049155230015,72.444
2018-05-23,55.814,69.64773993721744,69.502
2018-05-24,55.57,67.67257695773273,66.726
2018-05-25,55.77,66.7762305622085,66.602
2018-05-29,56.752,69.04361327793023,68.4
2018-05-30,58.344,66.96136866590186,68.9
2018-05-31,56.946,68.99833278194285,69.986
2018-06-01,58.364,67.35806634597355,68.59
2018-06-04,59.348,66.40922349394998,67.014
2018-06-05,58.226,64.0039186970134,62.172
2018-06-06,63.9,62.754239992875966,61.832
2018-06-07,63.218,64.25353214115765,61.78
2018-06-08,63.532,63.62055067685688,63.702
2018-06-11,66.42,64.91567314966323,64.494
2018-06-12,68.554,62.54820616926179,63.792
2018-06-13,68.956,65.91889057681476,63.342
2018-06-14,71.544,63.430006959890505,63.774
2018-06-15,71.634,62.24248513470883,62.02
2018-06-18,74.166,65.86858929383229,64.538
2018-06-19,70.51,65.73506897311003,64.77
2018-06-20,72.444,63.19357435942533,64.046
2018-06-21,69.502,64.24821971240956,62.716
2018-06-22,66.726,62.3899297821695,60.64
2018-06-25,66.602,64.00711321418376,59.486
2018-06-26,68.4,64.00988896393582,61.748
2018-06-27,68.9,63.65432758347353,61.33
2018-06-28,69.986,59.53655392218397,59.436
2018-06-29,68.59,63.278889671891136,58.034
2018-07-02,67.014,62.3402619897922,59.628
2018-07-03,62.172,63.22269236444225,60.168
2018-07-05,61.832,68.96773350632708,69.908
2018-07-06,61.78,68.79786309253942,69.634
2018-07-09,63.702,67.8133172253371,68.398
2018-07-10,64.494,72.59390537456542,75.914
2018-07-11,63.792,70.83165428265201,74.068
2018-07-12,63.342,72.63022314822877,70.49
2018-07-13,63.774,72.28170007656126,71.098
2018-07-16,62.02,70.78558345499371,71.282
2018-07-17,64.538,69.94586262832988,69.528
2018-07-18,64.77,66.70475169099268,67.738
2018-07-19,64.046,66.70918891065739,67.09
2018-07-20,62.716,65.27658483902681,61.1
2018-07-23,60.64,62.74776357201549,61.688
2018-07-24,59.486,64.49000122594836,64.38
2018-07-25,61.748,63.80957441657782,64.328
2018-07-26,61.33,63.69553045272241,64.02
2018-07-27,59.436,64.28151139022091,64.564
2018-07-30,58.034,63.130858347699956,63.854
2018-07-31,59.628,62.38363162597943,62.372
2018-08-01,60.168,61.80116858245532,61.002
