iter	RMSE
0	287.2088986
1	248.8966034
2	214.8909865
3	186.0404238
4	162.9171251
5	142.2635235
6	124.6396891
7	109.9508555
8	98.45664812
9	88.1327976
10	80.33485974
11	72.57752497
12	65.85776437
13	61.40222863
14	56.69523639
15	53.45364392
16	50.77558523
17	47.44689381
18	45.22075961
19	43.11712797
20	41.4898139
21	39.85472222
22	38.61404316
23	37.25250322
24	36.09866703
25	35.25295952
26	34.39056565
27	33.94811199
28	33.3564152
29	32.40994574
30	31.81599983
31	31.3309959
32	30.91137917
33	30.43837453
34	29.98450127
35	29.72849699
36	29.35966439
37	28.89213141
38	28.55590466
39	28.04043223
40	27.80481905
41	27.56248562
42	27.25280206
43	26.90988797
44	26.76805103
45	26.55522299
46	26.17839878
47	25.80931587
48	25.60613319
49	25.44479422
50	25.28421415
51	24.91526556
52	24.77796332
53	24.52786973
54	24.35250607
55	24.24146281
56	23.95543193
57	23.58324847
58	23.42673229
59	23.31416502
60	23.06678316
61	22.65989842
62	22.53011006
63	22.12674599
64	22.05561025
65	21.87584179
66	21.60621458
67	21.38226298
68	20.91294468
69	20.82663055
70	20.70420589
71	20.45897295
72	20.36808007
73	20.15513134
74	20.06825043
75	19.87765617
76	19.76500991
77	19.54901809
78	19.26878484
79	19.09958459
80	18.99920502
81	18.90672314
82	18.72527311
83	18.55469065
84	18.46654529
85	18.32944783
86	18.2662334
87	18.17135953
88	18.02251142
89	17.95892913
90	17.75529959
91	17.6439501
92	17.62492773
93	17.43178157
94	17.3593992
95	17.21832318
96	17.16970672
97	17.11514333
98	16.9043333
99	16.80147663
100	16.74026689
101	16.53172719
102	16.38064343
103	16.32210044
104	16.22866566
105	16.20214149
106	16.15863746
107	16.12393724
108	16.02081231
109	15.96360498
110	15.87872715
111	15.76869519
112	15.71721646
113	15.62642405
114	15.52188211
115	15.37733308
116	15.34155238
117	15.16550169
118	15.10741433
119	14.91937786
120	14.80102345
121	14.71230492
122	14.65713196
123	14.54746735
124	14.49095005
125	14.42164325
126	14.33424477
127	14.30635741
128	14.16826767
129	14.04357522
130	13.88648643
131	13.86342481
132	13.75385392
133	13.63785991
134	13.57612587
135	13.5635189
136	13.47839301
137	13.42687005
138	13.37329356
139	13.36373138
140	13.21912517
141	13.16737868
142	13.061341
143	12.96477394
144	12.94541928
145	12.85204568
146	12.73646503
147	12.70610243
148	12.60344682
149	12.58393652
150	12.54386173
151	12.43259155
152	12.35347445
153	12.28552234
154	12.26760357
155	12.16443693
156	12.07665562
157	12.04463144
158	11.95404019
159	11.8987082
160	11.84794921
161	11.793575
162	11.76258391
163	11.72445941
164	11.63330607
165	11.5359058
166	11.46442199
167	11.44248439
168	11.36003948
169	11.27128384
170	11.18260013
171	11.1156909
172	11.0734059
173	11.01947392
174	10.96561401
175	10.93979899
176	10.9129761
177	10.82138863
178	10.79348372
179	10.70517885
180	10.66091447
181	10.63354305
182	10.5669746
183	10.54347675
184	10.51134045
185	10.5038172
186	10.46513755
187	10.38084164
188	10.36678422
189	10.32158647
190	10.31198005
191	10.28968383
192	10.22938217
193	10.18969936
194	10.14467379
195	10.09471993
196	10.07592013
197	10.05981229
198	10.0124409
199	9.952326627
200	9.920350582
201	9.911290691
202	9.856340166
203	9.803644578
204	9.783481052
205	9.703368266
206	9.687571371
207	9.667202945
208	9.652073604
209	9.608024258
210	9.602631374
211	9.575395319
212	9.499597824
213	9.451414417
214	9.384682227
215	9.348705878
216	9.296016533
217	9.276617068
218	9.19988163
219	9.12615385
220	9.105765689
221	9.100647169
222	9.025597061
223	9.02167475
224	9.011110518
225	8.99492803
226	8.967079097
227	8.942524496
228	8.876336612
229	8.838446796
230	8.778489849
231	8.70212858
232	8.650646667
233	8.645894086
234	8.62260465
235	8.564726478
236	8.538263476
237	8.513739065
238	8.490722706
239	8.458199086
240	8.425718918
241	8.411270897
242	8.389989542
243	8.365342736
244	8.361252127
245	8.287586886
246	8.26506508
247	8.262227228
248	8.213273646
249	8.164253461
250	8.110274223
251	8.107463234
252	8.093343151
253	8.079352295
254	8.032551873
255	8.003877266
256	7.977897655
257	7.968951394
258	7.958865695
259	7.92765618
260	7.907550645
261	7.895242036
262	7.848457229
263	7.837968087
264	7.815043117
